block_number, block_name, block_trial_count, block_pairing_definition, study_name, task_number, task_name, trial_number, trial_name, trial_response, trial_latency, trial_error, session_id 
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,23,Rude|,right,765,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,26,brian1.jpg|,right,565,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,32,brian2.jpg|,right,557,0,7310127
6,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,14,brian2.jpg|,right,1748,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,2,james2.jpg|,left,689,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,8,james.jpg|,left,1532,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,14,james.jpg|,left,1466,1,7310127
3,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,13,Irritating|,right,1471,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,9,Attractive|,left,893,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,10,james.jpg|,left,628,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,5,Irritating|,right,1064,0,7310127
3,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,9,Irritating|,right,1282,0,7310127
3,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,11,Nice|,left,1474,0,7310127
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,30,brian1.jpg|,left,710,0,7310127
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,2,brian2.jpg|,left,972,0,7310127
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,6,james.jpg|,right,680,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,17,Considerate|,left,1908,0,7310127
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,13,Evil|,right,903,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,11,Friendly|,left,1435,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,14,Ugly|,right,595,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,34,james2.jpg|,left,599,0,7310127
6,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,3,Nasty|,right,1044,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,18,brian2.jpg|,left,885,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,3,james1.jpg|,left,683,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,10,brian2.jpg|,right,436,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,19,james1.jpg|,left,1149,0,7310127
3,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,18,james2.jpg|,right,661,0,7310127
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,12,james2.jpg|,right,825,0,7310127
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,14,brian.jpg|,left,698,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,39,Warm|,left,592,0,7310127
6,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,10,james1.jpg|,left,882,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,6,brian1.jpg|,left,692,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,17,brian2.jpg|,left,636,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,5,james2.jpg|,right,869,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,13,james1.jpg|,left,539,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,16,brian1.jpg|,right,1078,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,17,brian2.jpg|,right,1217,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,18,james.jpg|,left,694,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,33,Warm|,left,685,0,7310127
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,11,Ugly|,right,1179,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,12,james2.jpg|,left,667,0,7310127
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,19,Annoying|,right,964,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,3,Nice|,left,778,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,16,Rude|,right,681,0,7310127
6,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,5,Rude|,right,852,0,7310127
3,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,1,Considerate|,left,1066,0,7310127
3,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,3,Kind|,left,1994,0,7310127
3,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,8,james1.jpg|,right,579,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,3,Friendly|,left,683,0,7310127
6,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,4,james.jpg|,left,757,0,7310127
6,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,18,james.jpg|,left,520,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,2,brian1.jpg|,left,1306,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,3,james1.jpg|,right,857,0,7310127
3,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,12,james.jpg|,right,995,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,25,Rude|,right,701,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,31,Evil|,right,900,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,3,Kind|,left,851,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,29,Considerate|,left,605,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,7,james1.jpg|,right,762,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,10,brian2.jpg|,left,785,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,12,james.jpg|,right,853,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,14,brian1.jpg|,left,637,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,4,brian.jpg|,right,626,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,5,brian1.jpg|,right,596,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,12,brian1.jpg|,right,593,0,7310127
3,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,5,Warm|,left,1308,0,7310127
3,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,14,brian.jpg|,left,997,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,29,Nasty|,right,1533,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,5,Considerate|,left,1506,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,2,james1.jpg|,left,712,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,4,brian.jpg|,right,665,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,15,Kind|,left,1969,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,7,Warm|,left,1305,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,36,james.jpg|,left,599,0,7310127
6,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,1,Evil|,right,884,0,7310127
6,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,8,brian1.jpg|,right,846,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,13,james2.jpg|,right,812,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,4,brian.jpg|,left,920,0,7310127
1,Pierre|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,1,brian2.jpg|,left,865,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,9,brian.jpg|,right,574,0,7310127
5,Brian|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,15,james2.jpg|,left,552,0,7310127
3,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,10,brian2.jpg|,left,741,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,5,Considerate|,left,2204,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,19,Warm|,left,756,0,7310127
6,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,19,Considerate|,left,659,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,11,james.jpg|,right,828,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,19,james.jpg|,right,669,0,7310127
1,Brian|,20,"Pierre,Brian",ybalab.daniel.death1.0001,6,iat,0,james.jpg|,right,1611,0,7310127
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,32,brian.jpg|,left,853,0,7310127
