task_number	 question_number	 questionnaire_name	 question_name	 question_response	 attempt	 study_name	 session_id
10	16	mem	briannamert	3904	1	ybalab.daniel.death1.0001	7310498
10	17	mem	briannametrt	31407	1	ybalab.daniel.death1.0001	7310498
2	0	realstart	target1Name	Brian	1	ybalab.daniel.death1.0001	7310587
2	1	realstart	target2Name	Francois	1	ybalab.daniel.death1.0001	7310587
2	2	realstart	target1State	dead	1	ybalab.daniel.death1.0001	7310587
2	3	realstart	target2State	alive	1	ybalab.daniel.death1.0001	7310587
2	4	realstart	target1Group	USA	1	ybalab.daniel.death1.0001	7310587
2	5	realstart	target2Group	France	1	ybalab.daniel.death1.0001	7310587
3	1	behaviours	target1State	died last week	1	ybalab.daniel.death1.0001	7310587
3	2	behaviours	target2	Francois	1	ybalab.daniel.death1.0001	7310587
3	3	behaviours	target1	Brian	1	ybalab.daniel.death1.0001	7310587
3	4	behaviours	target2State	lives	1	ybalab.daniel.death1.0001	7310587
3	5	behaviours	target1Location	the USA	1	ybalab.daniel.death1.0001	7310587
3	6	behaviours	target1Where	 at his place of work (in 	1	ybalab.daniel.death1.0001	7310587
3	7	behaviours	target2Location	France	1	ybalab.daniel.death1.0001	7310587
3	8	behaviours	target2Where	 in his hometown (in 	1	ybalab.daniel.death1.0001	7310587
6	1	iat	feedback	Your data suggest a slight implicit preference for Francois compared to Brian	1	ybalab.daniel.death1.0001	7310587
6	2	iat	score	-0.21	1	ybalab.daniel.death1.0001	7310587
6	3	iat	block3Cond	Pleasant/Francois,Unpleasant/Brian	1	ybalab.daniel.death1.0001	7310587
8	0	exp	jamesfrnd	2	1	ybalab.daniel.death1.0001	7310587
8	1	exp	jamesfrndrt	19494	1	ybalab.daniel.death1.0001	7310587
8	2	exp	jamesfrndtrt	19975	1	ybalab.daniel.death1.0001	7310587
8	3	exp	brianfrnd	3	1	ybalab.daniel.death1.0001	7310587
8	4	exp	brianfrndrt	5656	1	ybalab.daniel.death1.0001	7310587
8	5	exp	brianfrndtrt	25631	1	ybalab.daniel.death1.0001	7310587
8	6	exp	jamestrst	2	1	ybalab.daniel.death1.0001	7310587
8	7	exp	jamestrstrt	7535	1	ybalab.daniel.death1.0001	7310587
8	8	exp	jamestrsttrt	33166	1	ybalab.daniel.death1.0001	7310587
8	9	exp	brianlike	2	1	ybalab.daniel.death1.0001	7310587
8	10	exp	brianlikert	4176	1	ybalab.daniel.death1.0001	7310587
8	11	exp	brianliketrt	37342	1	ybalab.daniel.death1.0001	7310587
8	12	exp	jameslike	2	1	ybalab.daniel.death1.0001	7310587
8	13	exp	jameslikert	4656	1	ybalab.daniel.death1.0001	7310587
8	14	exp	jamesliketrt	41998	1	ybalab.daniel.death1.0001	7310587
8	15	exp	briantrst	3	1	ybalab.daniel.death1.0001	7310587
8	16	exp	briantrstrt	4543	1	ybalab.daniel.death1.0001	7310587
8	17	exp	briantrsttrt	46541	1	ybalab.daniel.death1.0001	7310587
10	0	mem	brianname	3	1	ybalab.daniel.death1.0001	7310587
10	1	mem	briannamert	5159	1	ybalab.daniel.death1.0001	7310587
10	2	mem	briannametrt	6111	1	ybalab.daniel.death1.0001	7310587
10	3	mem	jameslive	2	1	ybalab.daniel.death1.0001	7310587
10	4	mem	jameslivert	3920	1	ybalab.daniel.death1.0001	7310587
10	5	mem	jameslivetrt	10031	1	ybalab.daniel.death1.0001	7310587
10	6	mem	jamesname	2	1	ybalab.daniel.death1.0001	7310587
10	7	mem	jamesnamert	3288	1	ybalab.daniel.death1.0001	7310587
10	8	mem	jamesnametrt	13319	1	ybalab.daniel.death1.0001	7310587
10	9	mem	brianlive	1	1	ybalab.daniel.death1.0001	7310587
10	10	mem	brianlivert	2999	1	ybalab.daniel.death1.0001	7310587
10	11	mem	brianlivetrt	16318	1	ybalab.daniel.death1.0001	7310587
10	12	mem	jamesnational	1	1	ybalab.daniel.death1.0001	7310587
10	13	mem	jamesnationalrt	2936	1	ybalab.daniel.death1.0001	7310587
10	14	mem	jamesnationaltrt	19254	1	ybalab.daniel.death1.0001	7310587
10	15	mem	briannational	3	1	ybalab.daniel.death1.0001	7310587
10	16	mem	briannationalrt	2216	1	ybalab.daniel.death1.0001	7310587
10	17	mem	briannationaltrt	21470	1	ybalab.daniel.death1.0001	7310587
2	0	realstart	target1Name	Brian	1	ybalab.daniel.death1.0001	7310647
2	1	realstart	target2Name	Francois	1	ybalab.daniel.death1.0001	7310647
2	2	realstart	target1State	dead	1	ybalab.daniel.death1.0001	7310647
2	3	realstart	target2State	alive	1	ybalab.daniel.death1.0001	7310647
2	4	realstart	target1Group	USA	1	ybalab.daniel.death1.0001	7310647
2	5	realstart	target2Group	France	1	ybalab.daniel.death1.0001	7310647
3	1	behaviours	target1State	died last week	1	ybalab.daniel.death1.0001	7310647
3	2	behaviours	target2	Francois	1	ybalab.daniel.death1.0001	7310647
3	3	behaviours	target1	Brian	1	ybalab.daniel.death1.0001	7310647
3	4	behaviours	target2State	lives	1	ybalab.daniel.death1.0001	7310647
3	5	behaviours	target1Location	the USA	1	ybalab.daniel.death1.0001	7310647
3	6	behaviours	target1Where	 at his place of work (in 	1	ybalab.daniel.death1.0001	7310647
3	7	behaviours	target2Location	France	1	ybalab.daniel.death1.0001	7310647
3	8	behaviours	target2Where	 in his hometown (in 	1	ybalab.daniel.death1.0001	7310647
6	1	iat	feedback	Your data suggest a moderate implicit preference for Francois compared to Brian	1	ybalab.daniel.death1.0001	7310647
6	2	iat	score	-0.38	1	ybalab.daniel.death1.0001	7310647
6	3	iat	block3Cond	Pleasant/Francois,Unpleasant/Brian	1	ybalab.daniel.death1.0001	7310647
8	0	exp	jamesfrnd	4	1	ybalab.daniel.death1.0001	7310647
8	1	exp	jamesfrndrt	21464	1	ybalab.daniel.death1.0001	7310647
8	2	exp	jamesfrndtrt	21476	1	ybalab.daniel.death1.0001	7310647
8	3	exp	brianfrnd	5	1	ybalab.daniel.death1.0001	7310647
8	4	exp	brianfrndrt	7322	1	ybalab.daniel.death1.0001	7310647
8	5	exp	brianfrndtrt	28798	1	ybalab.daniel.death1.0001	7310647
8	6	exp	briantrst	4	1	ybalab.daniel.death1.0001	7310647
